AllDeepSets_0.01_0.0_1_0.2,('edge', 'edge'),78.957 ± 8.506,64.671 ± 3.464,47.669 ± 8.323,286674, 5752.50s, 35.31s,95.0min52.50s
AllDeepSets_0.01_0.0_1_0.2,('edge', 'edge'),76.308 ± 6.093,68.621 ± 2.314,47.965 ± 5.050,932818, 5770.20s, 7.58s,96.0min10.20s
AllDeepSets_0.01_0.0_1_0.2,('edge', 'edge'),75.422 ± 4.178,65.981 ± 5.246,48.065 ± 4.210,2795986, 5930.10s, 41.91s,98.0min50.10s
AllDeepSets_0.01_0.0_1_0.2,('edge', 'edge'),75.308 ± 4.093,66.066 ± 5.221,47.962 ± 5.045,2795986, 5890.65s, 23.69s,98.0min10.65s
