Twitter-HyDrug
Epoch: 26, Train Loss: 18.5480, Valid Loss: 0.8865, Test  Loss: 0.8818, Train Acc: 74.40%, Valid Acc: 64.29%, Test  Acc: 64.54%, Train F1: 57.31%, Valid F1: 52.39%, Test  F1: 49.55%, 
Epoch: 27, Train Loss: 18.4683, Valid Loss: 0.8954, Test  Loss: 0.8772, Train Acc: 75.43%, Valid Acc: 65.65%, Test  Acc: 68.97%, Train F1: 50.09%, Valid F1: 45.11%, Test  F1: 44.61%, 
Epoch: 28, Train Loss: 18.5609, Valid Loss: 0.8985, Test  Loss: 0.8974, Train Acc: 74.06%, Valid Acc: 66.33%, Test  Acc: 68.71%, Train F1: 48.65%, Valid F1: 45.60%, Test  F1: 44.14%, 
Epoch: 29, Train Loss: 18.6658, Valid Loss: 0.8414, Test  Loss: 0.8460, Train Acc: 74.06%, Valid Acc: 67.69%, Test  Acc: 68.24%, Train F1: 56.24%, Valid F1: 53.42%, Test  F1: 49.69%, 
Epoch: 30, Train Loss: 18.4514, Valid Loss: 0.8510, Test  Loss: 0.8398, Train Acc: 77.47%, Valid Acc: 66.33%, Test  Acc: 68.28%, Train F1: 57.63%, Valid F1: 49.00%, Test  F1: 46.46%, 
Epoch: 31, Train Loss: 18.4092, Valid Loss: 0.8778, Test  Loss: 0.8510, Train Acc: 75.43%, Valid Acc: 64.63%, Test  Acc: 67.99%, Train F1: 51.57%, Valid F1: 42.80%, Test  F1: 42.82%, 
Epoch: 32, Train Loss: 18.4605, Valid Loss: 0.8880, Test  Loss: 0.8576, Train Acc: 75.77%, Valid Acc: 64.97%, Test  Acc: 68.20%, Train F1: 53.31%, Valid F1: 43.81%, Test  F1: 43.21%, 
Epoch: 33, Train Loss: 18.4065, Valid Loss: 0.8745, Test  Loss: 0.8556, Train Acc: 77.82%, Valid Acc: 66.33%, Test  Acc: 68.54%, Train F1: 58.61%, Valid F1: 47.99%, Test  F1: 45.99%, 
Epoch: 34, Train Loss: 18.4231, Valid Loss: 0.8816, Test  Loss: 0.8734, Train Acc: 77.13%, Valid Acc: 66.33%, Test  Acc: 69.14%, Train F1: 55.81%, Valid F1: 46.88%, Test  F1: 45.87%, 
Epoch: 35, Train Loss: 18.4350, Valid Loss: 0.8763, Test  Loss: 0.8803, Train Acc: 77.13%, Valid Acc: 67.01%, Test  Acc: 68.80%, Train F1: 56.84%, Valid F1: 48.80%, Test  F1: 46.42%, 
Epoch: 36, Train Loss: 18.4070, Valid Loss: 0.8678, Test  Loss: 0.8657, Train Acc: 78.84%, Valid Acc: 69.39%, Test  Acc: 69.22%, Train F1: 62.97%, Valid F1: 53.18%, Test  F1: 47.98%, 
Epoch: 37, Train Loss: 18.3189, Valid Loss: 0.8598, Test  Loss: 0.8553, Train Acc: 80.55%, Valid Acc: 66.33%, Test  Acc: 67.65%, Train F1: 67.43%, Valid F1: 52.17%, Test  F1: 48.93%, 
Epoch: 38, Train Loss: 18.5459, Valid Loss: 0.9136, Test  Loss: 0.8906, Train Acc: 78.50%, Valid Acc: 64.63%, Test  Acc: 65.69%, Train F1: 68.56%, Valid F1: 52.29%, Test  F1: 51.11%, 
Epoch: 39, Train Loss: 18.2951, Valid Loss: 0.9448, Test  Loss: 0.9373, Train Acc: 80.89%, Valid Acc: 69.39%, Test  Acc: 69.05%, Train F1: 67.73%, Valid F1: 54.72%, Test  F1: 49.70%, 
Epoch: 40, Train Loss: 18.3903, Valid Loss: 0.8483, Test  Loss: 0.8780, Train Acc: 83.28%, Valid Acc: 68.03%, Test  Acc: 66.96%, Train F1: 72.62%, Valid F1: 55.69%, Test  F1: 50.95%, 
Epoch: 41, Train Loss: 18.2465, Valid Loss: 0.8290, Test  Loss: 0.8713, Train Acc: 81.91%, Valid Acc: 69.39%, Test  Acc: 67.60%, Train F1: 69.40%, Valid F1: 55.41%, Test  F1: 50.52%, 
Epoch: 42, Train Loss: 18.2660, Valid Loss: 0.8385, Test  Loss: 0.8687, Train Acc: 81.23%, Valid Acc: 69.73%, Test  Acc: 68.41%, Train F1: 66.97%, Valid F1: 54.07%, Test  F1: 48.02%, 
Epoch: 43, Train Loss: 18.3912, Valid Loss: 0.8452, Test  Loss: 0.8682, Train Acc: 80.89%, Valid Acc: 70.41%, Test  Acc: 68.50%, Train F1: 66.50%, Valid F1: 54.77%, Test  F1: 48.52%, 
Epoch: 44, Train Loss: 18.2060, Valid Loss: 0.8516, Test  Loss: 0.8722, Train Acc: 83.62%, Valid Acc: 69.05%, Test  Acc: 68.28%, Train F1: 71.97%, Valid F1: 54.43%, Test  F1: 50.28%, 
Epoch: 45, Train Loss: 18.2100, Valid Loss: 0.8833, Test  Loss: 0.8998, Train Acc: 83.62%, Valid Acc: 70.07%, Test  Acc: 68.71%, Train F1: 71.81%, Valid F1: 56.47%, Test  F1: 50.48%, 
Epoch: 46, Train Loss: 18.2568, Valid Loss: 0.9105, Test  Loss: 0.9277, Train Acc: 83.62%, Valid Acc: 69.39%, Test  Acc: 68.71%, Train F1: 71.46%, Valid F1: 54.48%, Test  F1: 49.36%, 
Epoch: 47, Train Loss: 18.2295, Valid Loss: 0.8689, Test  Loss: 0.8909, Train Acc: 84.30%, Valid Acc: 70.07%, Test  Acc: 68.16%, Train F1: 71.61%, Valid F1: 54.91%, Test  F1: 49.50%, 
Epoch: 48, Train Loss: 18.1693, Valid Loss: 0.8554, Test  Loss: 0.8791, Train Acc: 83.62%, Valid Acc: 68.37%, Test  Acc: 68.16%, Train F1: 70.68%, Valid F1: 53.20%, Test  F1: 48.75%, 
Epoch: 49, Train Loss: 18.1361, Valid Loss: 0.8666, Test  Loss: 0.8877, Train Acc: 82.94%, Valid Acc: 67.01%, Test  Acc: 68.45%, Train F1: 69.26%, Valid F1: 50.71%, Test  F1: 47.94%, 
Epoch: 50, Train Loss: 18.1555, Valid Loss: 0.8731, Test  Loss: 0.9052, Train Acc: 83.96%, Valid Acc: 67.69%, Test  Acc: 68.54%, Train F1: 70.81%, Valid F1: 51.87%, Test  F1: 48.24%, 
Epoch: 51, Train Loss: 18.1914, Valid Loss: 0.8809, Test  Loss: 0.9313, Train Acc: 86.35%, Valid Acc: 68.37%, Test  Acc: 67.94%, Train F1: 75.88%, Valid F1: 57.11%, Test  F1: 50.94%, 
Epoch: 52, Train Loss: 18.1639, Valid Loss: 0.9325, Test  Loss: 0.9727, Train Acc: 86.35%, Valid Acc: 66.67%, Test  Acc: 67.52%, Train F1: 76.80%, Valid F1: 55.63%, Test  F1: 52.16%, 
Epoch: 53, Train Loss: 18.0741, Valid Loss: 0.9437, Test  Loss: 0.9877, Train Acc: 86.35%, Valid Acc: 66.33%, Test  Acc: 66.92%, Train F1: 76.80%, Valid F1: 55.94%, Test  F1: 52.54%, 
Epoch: 54, Train Loss: 18.1452, Valid Loss: 1.0099, Test  Loss: 1.0338, Train Acc: 87.37%, Valid Acc: 67.01%, Test  Acc: 67.60%, Train F1: 77.75%, Valid F1: 55.44%, Test  F1: 51.05%, 
Epoch: 55, Train Loss: 18.0883, Valid Loss: 0.9783, Test  Loss: 1.0170, Train Acc: 86.69%, Valid Acc: 65.99%, Test  Acc: 66.07%, Train F1: 76.13%, Valid F1: 56.33%, Test  F1: 52.01%, 
Epoch: 56, Train Loss: 18.0366, Valid Loss: 1.1884, Test  Loss: 1.1392, Train Acc: 86.01%, Valid Acc: 65.99%, Test  Acc: 68.67%, Train F1: 75.16%, Valid F1: 47.77%, Test  F1: 47.81%, 
Epoch: 57, Train Loss: 18.1255, Valid Loss: 0.9860, Test  Loss: 1.0140, Train Acc: 84.30%, Valid Acc: 61.56%, Test  Acc: 63.56%, Train F1: 74.15%, Valid F1: 50.46%, Test  F1: 50.24%, 
Epoch: 58, Train Loss: 18.0927, Valid Loss: 0.9599, Test  Loss: 0.9703, Train Acc: 86.69%, Valid Acc: 65.65%, Test  Acc: 68.16%, Train F1: 75.27%, Valid F1: 49.58%, Test  F1: 49.28%, 
Epoch: 59, Train Loss: 17.9930, Valid Loss: 1.0133, Test  Loss: 0.9943, Train Acc: 86.01%, Valid Acc: 64.97%, Test  Acc: 68.24%, Train F1: 75.14%, Valid F1: 47.22%, Test  F1: 47.43%, 
Epoch: 60, Train Loss: 18.0690, Valid Loss: 0.9157, Test  Loss: 0.9488, Train Acc: 89.08%, Valid Acc: 65.65%, Test  Acc: 68.16%, Train F1: 79.87%, Valid F1: 50.06%, Test  F1: 50.62%, 
Epoch: 61, Train Loss: 17.9658, Valid Loss: 0.9130, Test  Loss: 0.9725, Train Acc: 89.42%, Valid Acc: 66.33%, Test  Acc: 66.79%, Train F1: 82.42%, Valid F1: 55.75%, Test  F1: 53.13%, 
Epoch: 62, Train Loss: 18.0486, Valid Loss: 1.0538, Test  Loss: 1.0310, Train Acc: 89.42%, Valid Acc: 65.31%, Test  Acc: 67.99%, Train F1: 81.62%, Valid F1: 51.09%, Test  F1: 49.56%, 
Epoch: 63, Train Loss: 17.9924, Valid Loss: 1.0732, Test  Loss: 1.0595, Train Acc: 89.08%, Valid Acc: 65.31%, Test  Acc: 68.11%, Train F1: 81.13%, Valid F1: 51.37%, Test  F1: 50.06%, 
Epoch: 64, Train Loss: 17.9914, Valid Loss: 0.9878, Test  Loss: 1.0414, Train Acc: 87.37%, Valid Acc: 67.35%, Test  Acc: 65.64%, Train F1: 79.50%, Valid F1: 58.61%, Test  F1: 52.69%, 
Epoch: 65, Train Loss: 17.9851, Valid Loss: 0.9934, Test  Loss: 1.0342, Train Acc: 89.08%, Valid Acc: 68.37%, Test  Acc: 67.09%, Train F1: 80.42%, Valid F1: 58.42%, Test  F1: 52.13%, 
Epoch: 66, Train Loss: 17.9448, Valid Loss: 0.9896, Test  Loss: 1.0292, Train Acc: 90.44%, Valid Acc: 67.35%, Test  Acc: 67.39%, Train F1: 82.64%, Valid F1: 56.88%, Test  F1: 52.14%, 
Epoch: 67, Train Loss: 17.8790, Valid Loss: 0.9678, Test  Loss: 1.0183, Train Acc: 90.78%, Valid Acc: 67.69%, Test  Acc: 67.43%, Train F1: 83.74%, Valid F1: 56.56%, Test  F1: 51.85%, 
